"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Status"
"zl-oversized-tee-white","ZL Oversized Tee White","<p>White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, white, gold, oversized, zl worldwide","FALSE","Size","XL","Color","White","ZL-TEE-WHT-XL","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","5","ZL Oversized Tee White - ZL Worldwide","FALSE","ZL Oversized Tee White | ZL Worldwide","White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.","draft"
"zl-oversized-tee-white","ZL Oversized Tee White","<p>White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, white, gold, oversized, zl worldwide","FALSE","Size","XXL","Color","White","ZL-TEE-WHT-XXL","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","6","ZL Oversized Tee White - ZL Worldwide","FALSE","ZL Oversized Tee White | ZL Worldwide","White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.","draft"
"zl-track-pants-black","ZL Track Pants Black","<p>Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.</p>","ZL Worldwide","Apparel & Accessories","Pants","pants, black, gold, streetwear, zl worldwide","FALSE","Size","XS","Color","Black","ZL-PANT-BLK-XS","700","shopify","0","deny","manual","59.95","69.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/collage.jpg","1","ZL Track Pants Black - ZL Worldwide","FALSE","ZL Track Pants Black | ZL Worldwide","Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.","draft"
"zl-track-pants-black","ZL Track Pants Black","<p>Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.</p>","ZL Worldwide","Apparel & Accessories","Pants","pants, black, gold, streetwear, zl worldwide","FALSE","Size","S","Color","Black","ZL-PANT-BLK-S","700","shopify","0","deny","manual","59.95","69.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/collage.jpg","2","ZL Track Pants Black - ZL Worldwide","FALSE","ZL Track Pants Black | ZL Worldwide","Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.","draft"
"zl-track-pants-black","ZL Track Pants Black","<p>Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.</p>","ZL Worldwide","Apparel & Accessories","Pants","pants, black, gold, streetwear, zl worldwide","FALSE","Size","M","Color","Black","ZL-PANT-BLK-M","700","shopify","0","deny","manual","59.95","69.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/collage.jpg","3","ZL Track Pants Black - ZL Worldwide","FALSE","ZL Track Pants Black | ZL Worldwide","Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.","draft"
"zl-track-pants-black","ZL Track Pants Black","<p>Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.</p>","ZL Worldwide","Apparel & Accessories","Pants","pants, black, gold, streetwear, zl worldwide","FALSE","Size","L","Color","Black","ZL-PANT-BLK-L","700","shopify","0","deny","manual","59.95","69.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/collage.jpg","4","ZL Track Pants Black - ZL Worldwide","FALSE","ZL Track Pants Black | ZL Worldwide","Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.","draft"
"zl-track-pants-black","ZL Track Pants Black","<p>Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.</p>","ZL Worldwide","Apparel & Accessories","Pants","pants, black, gold, streetwear, zl worldwide","FALSE","Size","XL","Color","Black","ZL-PANT-BLK-XL","700","shopify","0","deny","manual","59.95","69.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/collage.jpg","5","ZL Track Pants Black - ZL Worldwide","FALSE","ZL Track Pants Black | ZL Worldwide","Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.","draft"
"zl-track-pants-black","ZL Track Pants Black","<p>Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.</p>","ZL Worldwide","Apparel & Accessories","Pants","pants, black, gold, streetwear, zl worldwide","FALSE","Size","XXL","Color","Black","ZL-PANT-BLK-XXL","700","shopify","0","deny","manual","59.95","69.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/collage.jpg","6","ZL Track Pants Black - ZL Worldwide","FALSE","ZL Track Pants Black | ZL Worldwide","Premium track pants with ZL branding and relaxed taper. Built to complete the hoodie set.","draft"
"zl-full-tracksuit-black","ZL Full Tracksuit Black","<p>The complete black ZL set: hoodie and pants together for a stronger price than buying separately.</p>","ZL Worldwide","Apparel & Accessories","Set","tracksuit, set, black, gold, zl worldwide","FALSE","Size","XS","Color","Black","ZL-SET-BLK-XS","700","shopify","0","deny","manual","129.95","149.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/campaign-grid.jpg","1","ZL Full Tracksuit Black - ZL Worldwide","FALSE","ZL Full Tracksuit Black | ZL Worldwide","The complete black ZL set: hoodie and pants together for a stronger price than buying separately.","draft"
"zl-full-tracksuit-black","ZL Full Tracksuit Black","<p>The complete black ZL set: hoodie and pants together for a stronger price than buying separately.</p>","ZL Worldwide","Apparel & Accessories","Set","tracksuit, set, black, gold, zl worldwide","FALSE","Size","S","Color","Black","ZL-SET-BLK-S","700","shopify","0","deny","manual","129.95","149.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/campaign-grid.jpg","2","ZL Full Tracksuit Black - ZL Worldwide","FALSE","ZL Full Tracksuit Black | ZL Worldwide","The complete black ZL set: hoodie and pants together for a stronger price than buying separately.","draft"
"zl-full-tracksuit-black","ZL Full Tracksuit Black","<p>The complete black ZL set: hoodie and pants together for a stronger price than buying separately.</p>","ZL Worldwide","Apparel & Accessories","Set","tracksuit, set, black, gold, zl worldwide","FALSE","Size","M","Color","Black","ZL-SET-BLK-M","700","shopify","0","deny","manual","129.95","149.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/campaign-grid.jpg","3","ZL Full Tracksuit Black - ZL Worldwide","FALSE","ZL Full Tracksuit Black | ZL Worldwide","The complete black ZL set: hoodie and pants together for a stronger price than buying separately.","draft"
"zl-full-tracksuit-black","ZL Full Tracksuit Black","<p>The complete black ZL set: hoodie and pants together for a stronger price than buying separately.</p>","ZL Worldwide","Apparel & Accessories","Set","tracksuit, set, black, gold, zl worldwide","FALSE","Size","L","Color","Black","ZL-SET-BLK-L","700","shopify","0","deny","manual","129.95","149.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/campaign-grid.jpg","4","ZL Full Tracksuit Black - ZL Worldwide","FALSE","ZL Full Tracksuit Black | ZL Worldwide","The complete black ZL set: hoodie and pants together for a stronger price than buying separately.","draft"
"zl-full-tracksuit-black","ZL Full Tracksuit Black","<p>The complete black ZL set: hoodie and pants together for a stronger price than buying separately.</p>","ZL Worldwide","Apparel & Accessories","Set","tracksuit, set, black, gold, zl worldwide","FALSE","Size","XL","Color","Black","ZL-SET-BLK-XL","700","shopify","0","deny","manual","129.95","149.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/campaign-grid.jpg","5","ZL Full Tracksuit Black - ZL Worldwide","FALSE","ZL Full Tracksuit Black | ZL Worldwide","The complete black ZL set: hoodie and pants together for a stronger price than buying separately.","draft"
"zl-full-tracksuit-black","ZL Full Tracksuit Black","<p>The complete black ZL set: hoodie and pants together for a stronger price than buying separately.</p>","ZL Worldwide","Apparel & Accessories","Set","tracksuit, set, black, gold, zl worldwide","FALSE","Size","XXL","Color","Black","ZL-SET-BLK-XXL","700","shopify","0","deny","manual","129.95","149.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/campaign-grid.jpg","6","ZL Full Tracksuit Black - ZL Worldwide","FALSE","ZL Full Tracksuit Black | ZL Worldwide","The complete black ZL set: hoodie and pants together for a stronger price than buying separately.","draft"
"zl-worldwide-cap-black","ZL Worldwide Cap Black","<p>Black structured cap with gold ZL embroidery. A quick add-on that makes every order feel complete.</p>","ZL Worldwide","Apparel & Accessories","Cap","cap, black, gold, accessories, zl worldwide","FALSE","Size","One Size","Color","Black","ZL-CAP-BLK-ONESIZE","700","shopify","0","deny","manual","29.95","34.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/collage.jpg","1","ZL Worldwide Cap Black - ZL Worldwide","FALSE","ZL Worldwide Cap Black | ZL Worldwide","Black structured cap with gold ZL embroidery. A quick add-on that makes every order feel complete.","draft"
"zl-luxury-duffle-bag","ZL Luxury Duffle Bag","<p>Black travel duffle with ZL branding for gym, weekend trips and content-ready product bundles.</p>","ZL Worldwide","Apparel & Accessories","Bag","bag, duffle, black, gold, accessories, zl worldwide","FALSE","Size","One Size","Color","Black","ZL-BAG-DUFFLE-ONESIZE","700","shopify","0","deny","manual","89.95","109.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/collage.jpg","1","ZL Luxury Duffle Bag - ZL Worldwide","FALSE","ZL Luxury Duffle Bag | ZL Worldwide","Black travel duffle with ZL branding for gym, weekend trips and content-ready product bundles.","draft"
"zl-launch-bundle","ZL Launch Bundle","<p>Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.</p>","ZL Worldwide","Apparel & Accessories","Set","bundle, hoodie, tee, cap, zl worldwide","FALSE","Size","XS","Color","Mixed","ZL-BUNDLE-LAUNCH-XS","700","shopify","0","deny","manual","169.95","209.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/storyboard.jpg","1","ZL Launch Bundle - ZL Worldwide","FALSE","ZL Launch Bundle | ZL Worldwide","Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.","draft"
"zl-launch-bundle","ZL Launch Bundle","<p>Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.</p>","ZL Worldwide","Apparel & Accessories","Set","bundle, hoodie, tee, cap, zl worldwide","FALSE","Size","S","Color","Mixed","ZL-BUNDLE-LAUNCH-S","700","shopify","0","deny","manual","169.95","209.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/storyboard.jpg","2","ZL Launch Bundle - ZL Worldwide","FALSE","ZL Launch Bundle | ZL Worldwide","Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.","draft"
"zl-launch-bundle","ZL Launch Bundle","<p>Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.</p>","ZL Worldwide","Apparel & Accessories","Set","bundle, hoodie, tee, cap, zl worldwide","FALSE","Size","M","Color","Mixed","ZL-BUNDLE-LAUNCH-M","700","shopify","0","deny","manual","169.95","209.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/storyboard.jpg","3","ZL Launch Bundle - ZL Worldwide","FALSE","ZL Launch Bundle | ZL Worldwide","Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.","draft"
"zl-launch-bundle","ZL Launch Bundle","<p>Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.</p>","ZL Worldwide","Apparel & Accessories","Set","bundle, hoodie, tee, cap, zl worldwide","FALSE","Size","L","Color","Mixed","ZL-BUNDLE-LAUNCH-L","700","shopify","0","deny","manual","169.95","209.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/storyboard.jpg","4","ZL Launch Bundle - ZL Worldwide","FALSE","ZL Launch Bundle | ZL Worldwide","Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.","draft"
"zl-launch-bundle","ZL Launch Bundle","<p>Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.</p>","ZL Worldwide","Apparel & Accessories","Set","bundle, hoodie, tee, cap, zl worldwide","FALSE","Size","XL","Color","Mixed","ZL-BUNDLE-LAUNCH-XL","700","shopify","0","deny","manual","169.95","209.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/storyboard.jpg","5","ZL Launch Bundle - ZL Worldwide","FALSE","ZL Launch Bundle | ZL Worldwide","Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.","draft"
"zl-launch-bundle","ZL Launch Bundle","<p>Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.</p>","ZL Worldwide","Apparel & Accessories","Set","bundle, hoodie, tee, cap, zl worldwide","FALSE","Size","XXL","Color","Mixed","ZL-BUNDLE-LAUNCH-XXL","700","shopify","0","deny","manual","169.95","209.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/storyboard.jpg","6","ZL Launch Bundle - ZL Worldwide","FALSE","ZL Launch Bundle | ZL Worldwide","Launch bundle with hoodie, tee and cap styling. Designed for customers who want the full brand look at once.","draft"
